Lead_ID,Date,Channel,Lead,Qualified,Demo_Booked,Trial_Started,Customer,Campaign_Cost_INR,Revenue_INR
LEAD10064,2025-05-02,Google Ads,1,1,0,0,0,520,0
LEAD10065,2025-03-15,Organic Search,1,0,0,0,0,60,0
LEAD10066,2025-03-05,Instagram,1,1,1,1,0,280,0
LEAD10067,2025-06-13,Facebook,1,1,1,1,0,300,0
LEAD10068,2025-02-21,Instagram,1,1,1,0,0,280,0
LEAD10069,2025-05-24,YouTube,1,0,0,0,0,350,0
LEAD10070,2025-04-23,Email,1,1,1,0,0,90,0
LEAD10071,2025-05-28,Instagram,1,1,1,0,0,280,0
LEAD10072,2025-01-02,Organic Search,1,0,0,0,0,60,0
LEAD10073,2025-06-11,Organic Search,1,1,0,0,0,60,0
LEAD10074,2025-01-22,Instagram,1,1,1,1,1,280,4462
LEAD10075,2025-01-17,Email,1,0,0,0,0,90,0
LEAD10076,2025-04-30,Organic Search,1,1,0,0,0,60,0
LEAD10077,2025-05-21,Organic Search,1,0,0,0,0,60,0
LEAD10078,2025-06-19,Google Ads,1,1,0,0,0,520,0
LEAD10079,2025-02-17,Organic Search,1,1,1,1,1,60,3515
LEAD10080,2025-02-23,Organic Search,1,0,0,0,0,60,0
LEAD10081,2025-03-06,Instagram,1,1,1,1,1,280,3655
LEAD10082,2025-02-25,Google Ads,1,0,0,0,0,520,0
LEAD10083,2025-06-20,Instagram,1,1,1,1,1,280,2061
LEAD10084,2025-06-22,YouTube,1,0,0,0,0,350,0
LEAD10085,2025-03-21,Google Ads,1,1,1,1,0,520,0
LEAD10086,2025-06-25,YouTube,1,1,1,1,0,350,0
LEAD10087,2025-05-23,Google Ads,1,1,0,0,0,520,0
LEAD10088,2025-04-16,Organic Search,1,1,1,0,0,60,0
LEAD10089,2025-03-11,Google Ads,1,1,0,0,0,520,0
LEAD10090,2025-05-08,Google Ads,1,0,0,0,0,520,0
LEAD10091,2025-02-10,Facebook,1,0,0,0,0,300,0
LEAD10092,2025-04-19,Facebook,1,0,0,0,0,300,0
LEAD10093,2025-04-22,Organic Search,1,1,0,0,0,60,0
LEAD10094,2025-06-27,Google Ads,1,0,0,0,0,520,0
LEAD10095,2025-01-10,Email,1,0,0,0,0,90,0
LEAD10096,2025-02-02,Instagram,1,1,0,0,0,280,0
LEAD10097,2025-02-06,YouTube,1,1,0,0,0,350,0
LEAD10098,2025-05-19,YouTube,1,0,0,0,0,350,0
LEAD10099,2025-03-22,Instagram,1,1,1,1,1,280,4055
LEAD10100,2025-02-20,Google Ads,1,0,0,0,0,520,0
LEAD10101,2025-02-23,Organic Search,1,0,0,0,0,60,0
LEAD10102,2025-06-13,Facebook,1,1,1,1,1,300,2354
LEAD10103,2025-05-14,Facebook,1,1,0,0,0,300,0
LEAD10104,2025-06-12,Organic Search,1,1,0,0,0,60,0
LEAD10105,2025-06-08,Email,1,1,0,0,0,90,0
LEAD10106,2025-05-12,Facebook,1,0,0,0,0,300,0
LEAD10107,2025-02-13,Facebook,1,0,0,0,0,300,0
LEAD10108,2025-02-25,Instagram,1,0,0,0,0,280,0
LEAD10109,2025-05-07,Instagram,1,1,1,1,1,280,1805
LEAD10110,2025-01-15,Google Ads,1,1,0,0,0,520,0
LEAD10111,2025-03-14,Organic Search,1,0,0,0,0,60,0
LEAD10112,2025-05-11,Facebook,1,0,0,0,0,300,0
LEAD10113,2025-02-20,Email,1,1,1,1,1,90,2625
LEAD10114,2025-06-24,Instagram,1,0,0,0,0,280,0
LEAD10115,2025-06-21,Google Ads,1,1,0,0,0,520,0
LEAD10116,2025-02-02,Facebook,1,0,0,0,0,300,0
LEAD10117,2025-03-17,Facebook,1,0,0,0,0,300,0
LEAD10118,2025-06-09,Google Ads,1,1,0,0,0,520,0
LEAD10119,2025-01-22,Organic Search,1,1,1,1,0,60,0
LEAD10120,2025-03-04,Instagram,1,1,1,0,0,280,0
LEAD10121,2025-03-21,Email,1,0,0,0,0,90,0
LEAD10122,2025-01-08,Google Ads,1,0,0,0,0,520,0
LEAD10123,2025-04-26,YouTube,1,1,1,1,0,350,0
LEAD10124,2025-02-08,Email,1,0,0,0,0,90,0
LEAD10125,2025-01-06,Email,1,1,1,0,0,90,0
LEAD10126,2025-05-30,Email,1,1,1,1,0,90,0
LEAD10127,2025-06-22,YouTube,1,1,0,0,0,350,0
LEAD10128,2025-04-06,Facebook,1,1,1,0,0,300,0
LEAD10129,2025-06-05,Organic Search,1,1,0,0,0,60,0
LEAD10130,2025-02-07,Google Ads,1,1,0,0,0,520,0
LEAD10131,2025-04-29,Organic Search,1,1,0,0,0,60,0
LEAD10132,2025-06-21,Facebook,1,1,1,0,0,300,0
LEAD10133,2025-03-18,YouTube,1,1,0,0,0,350,0
LEAD10134,2025-05-19,Organic Search,1,1,1,1,0,60,0
LEAD10135,2025-01-26,Google Ads,1,0,0,0,0,520,0
LEAD10136,2025-01-14,YouTube,1,1,1,1,0,350,0
LEAD10137,2025-02-20,YouTube,1,1,1,1,1,350,2643
LEAD10138,2025-01-23,Organic Search,1,0,0,0,0,60,0
LEAD10139,2025-01-13,Organic Search,1,1,1,0,0,60,0
LEAD10140,2025-04-08,Email,1,1,1,1,1,90,3401
LEAD10141,2025-06-11,Email,1,0,0,0,0,90,0
LEAD10142,2025-04-14,Instagram,1,1,1,1,0,280,0
LEAD10143,2025-04-19,Organic Search,1,0,0,0,0,60,0
LEAD10144,2025-06-15,Google Ads,1,0,0,0,0,520,0
LEAD10145,2025-05-09,Facebook,1,1,0,0,0,300,0
LEAD10146,2025-04-16,Organic Search,1,1,1,0,0,60,0
LEAD10147,2025-05-31,Organic Search,1,1,1,0,0,60,0
LEAD10148,2025-01-01,Google Ads,1,1,0,0,0,520,0
LEAD10149,2025-04-05,YouTube,1,0,0,0,0,350,0
LEAD10150,2025-05-21,Facebook,1,1,1,1,0,300,0
